timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:36:53.507, NVIDIA GeForce RTX 4090, 1 %, 2 %, 1129 MiB, 33.09 W
2026/01/03 15:36:54.512, NVIDIA GeForce RTX 4090, 0 %, 2 %, 1123 MiB, 33.14 W
2026/01/03 15:36:55.514, NVIDIA GeForce RTX 4090, 4 %, 2 %, 1121 MiB, 33.28 W
2026/01/03 15:36:56.518, NVIDIA GeForce RTX 4090, 34 %, 1 %, 17304 MiB, 71.06 W
2026/01/03 15:36:57.521, NVIDIA GeForce RTX 4090, 36 %, 1 %, 17304 MiB, 84.06 W
2026/01/03 15:36:58.523, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17314 MiB, 73.58 W
2026/01/03 15:36:59.525, NVIDIA GeForce RTX 4090, 65 %, 25 %, 18141 MiB, 130.55 W
2026/01/03 15:37:00.527, NVIDIA GeForce RTX 4090, 86 %, 83 %, 17902 MiB, 250.07 W
2026/01/03 15:37:01.529, NVIDIA GeForce RTX 4090, 98 %, 38 %, 18123 MiB, 309.93 W
2026/01/03 15:37:02.532, NVIDIA GeForce RTX 4090, 81 %, 13 %, 18113 MiB, 273.92 W
2026/01/03 15:37:03.535, NVIDIA GeForce RTX 4090, 94 %, 81 %, 18099 MiB, 315.24 W
2026/01/03 15:37:04.538, NVIDIA GeForce RTX 4090, 81 %, 77 %, 17474 MiB, 265.00 W
2026/01/03 15:37:05.540, NVIDIA GeForce RTX 4090, 96 %, 30 %, 17961 MiB, 284.02 W
2026/01/03 15:37:09.474, NVIDIA GeForce RTX 4090, 96 %, 23 %, 17959 MiB, 305.81 W
2026/01/03 15:37:10.477, NVIDIA GeForce RTX 4090, 97 %, 42 %, 17412 MiB, 302.01 W
2026/01/03 15:37:11.479, NVIDIA GeForce RTX 4090, 96 %, 43 %, 17472 MiB, 283.66 W
2026/01/03 15:37:12.483, NVIDIA GeForce RTX 4090, 97 %, 47 %, 18052 MiB, 298.34 W
2026/01/03 15:37:13.487, NVIDIA GeForce RTX 4090, 96 %, 30 %, 18022 MiB, 290.25 W
2026/01/03 15:37:14.490, NVIDIA GeForce RTX 4090, 96 %, 23 %, 17954 MiB, 267.71 W
2026/01/03 15:37:15.492, NVIDIA GeForce RTX 4090, 96 %, 23 %, 17957 MiB, 306.42 W
2026/01/03 15:37:16.497, NVIDIA GeForce RTX 4090, 96 %, 55 %, 17418 MiB, 300.02 W
2026/01/03 15:37:17.502, NVIDIA GeForce RTX 4090, 98 %, 37 %, 18018 MiB, 308.07 W
2026/01/03 15:37:18.504, NVIDIA GeForce RTX 4090, 95 %, 36 %, 17957 MiB, 264.34 W
2026/01/03 15:37:19.508, NVIDIA GeForce RTX 4090, 78 %, 15 %, 17832 MiB, 277.95 W
2026/01/03 15:37:20.510, NVIDIA GeForce RTX 4090, 76 %, 34 %, 17436 MiB, 285.78 W
2026/01/03 15:37:21.517, NVIDIA GeForce RTX 4090, 89 %, 73 %, 17456 MiB, 291.75 W
2026/01/03 15:37:22.521, NVIDIA GeForce RTX 4090, 75 %, 62 %, 17452 MiB, 294.88 W
2026/01/03 15:37:23.552, NVIDIA GeForce RTX 4090, 96 %, 38 %, 18064 MiB, 302.98 W
2026/01/03 15:37:24.554, NVIDIA GeForce RTX 4090, 97 %, 44 %, 17984 MiB, 291.30 W
2026/01/03 15:37:25.556, NVIDIA GeForce RTX 4090, 97 %, 38 %, 17998 MiB, 294.95 W
2026/01/03 15:37:26.561, NVIDIA GeForce RTX 4090, 95 %, 57 %, 18006 MiB, 297.85 W
2026/01/03 15:37:27.563, NVIDIA GeForce RTX 4090, 97 %, 38 %, 18012 MiB, 294.29 W
2026/01/03 15:37:28.566, NVIDIA GeForce RTX 4090, 95 %, 37 %, 18008 MiB, 293.80 W
2026/01/03 15:37:29.570, NVIDIA GeForce RTX 4090, 97 %, 46 %, 17398 MiB, 294.14 W
2026/01/03 15:37:30.573, NVIDIA GeForce RTX 4090, 97 %, 38 %, 17398 MiB, 301.86 W
2026/01/03 15:37:31.577, NVIDIA GeForce RTX 4090, 94 %, 52 %, 17402 MiB, 289.25 W
2026/01/03 15:37:32.580, NVIDIA GeForce RTX 4090, 93 %, 42 %, 17452 MiB, 282.48 W
2026/01/03 15:37:33.582, NVIDIA GeForce RTX 4090, 81 %, 20 %, 17833 MiB, 279.16 W
2026/01/03 15:37:34.598, NVIDIA GeForce RTX 4090, 71 %, 46 %, 17833 MiB, 290.03 W
2026/01/03 15:37:35.601, NVIDIA GeForce RTX 4090, 77 %, 17 %, 17833 MiB, 284.15 W
2026/01/03 15:37:36.604, NVIDIA GeForce RTX 4090, 71 %, 49 %, 17838 MiB, 290.18 W
2026/01/03 15:37:37.607, NVIDIA GeForce RTX 4090, 81 %, 7 %, 17838 MiB, 284.45 W
2026/01/03 15:37:38.609, NVIDIA GeForce RTX 4090, 66 %, 41 %, 17845 MiB, 284.93 W
